,grade,right_hand_moves,left_hand_moves,right_leg_moves,left_leg_moves,total_num_moves,completion,Age ,Weight ,Height ,Avg Pull Ups ,Experience (yrs),Max Grades
grade,1.0,0.2309953682286719,-0.07909085531786102,-0.04940897197244171,0.10073425647034474,0.06644999691702763,-0.14651748438743278,-0.3259821155866748,-0.18997183903641035,-0.2546977900310629,0.2737758875533715,0.43483093321342514,0.4865971483661128
right_hand_moves,0.2309953682286719,1.0,0.7391898685949226,0.5640426920713822,0.7390040702083057,0.8681306757547804,0.6046983524191781,-0.22632692465033136,0.028050813189711678,-0.09209707003012921,0.4295937934269446,0.3048608821201561,0.4088741934332319
left_hand_moves,-0.07909085531786102,0.7391898685949226,1.0,0.7514555323936707,0.8132547057430557,0.9253505607000715,0.5936575981438224,-0.26557358395358344,-0.030108921569194473,-0.1627124099229097,0.18903186853352077,0.28023556233088803,0.28036687331876015
right_leg_moves,-0.04940897197244171,0.5640426920713822,0.7514555323936707,1.0,0.7699051914626357,0.847929591422963,0.5685302730779749,-0.23601466574177005,0.05592951336647227,-0.09748264971916086,0.2542332383388813,0.28041150076795873,0.3141006341170002
left_leg_moves,0.10073425647034474,0.7390040702083057,0.8132547057430557,0.7699051914626357,1.0,0.9276626218336735,0.5940149007391915,-0.31917147132047635,-0.035542173027823296,-0.18309913364717514,0.36362647520750346,0.3784086023662311,0.4404217351423362
total_num_moves,0.06644999691702763,0.8681306757547804,0.9253505607000715,0.847929591422963,0.9276626218336735,1.0,0.662450142669307,-0.2925844970726016,0.004520100346148039,-0.14934721449878913,0.3530934434633679,0.3490011096248001,0.4076829461102044
completion,-0.14651748438743278,0.6046983524191781,0.5936575981438224,0.5685302730779749,0.5940149007391915,0.662450142669307,1.0,-0.2517148608119758,0.09102042322081223,-0.06830530175780591,0.4786964820211372,0.37876510239876865,0.5188742703074946
Age ,-0.3259821155866748,-0.22632692465033136,-0.26557358395358344,-0.23601466574177005,-0.31917147132047635,-0.2925844970726016,-0.2517148608119758,1.0,0.6542576339281927,0.9183450250930539,0.1241464071902218,-0.9297681461889572,-0.6175601423689625
Weight ,-0.18997183903641035,0.028050813189711678,-0.030108921569194473,0.05592951336647227,-0.035542173027823296,0.004520100346148039,0.09102042322081223,0.6542576339281927,1.0,0.893027121625109,0.5651840256719742,-0.5717682019125799,-0.23253551141125692
Height ,-0.2546977900310629,-0.09209707003012921,-0.1627124099229097,-0.09748264971916086,-0.18309913364717514,-0.14934721449878913,-0.06830530175780591,0.9183450250930539,0.893027121625109,1.0,0.4208992495388569,-0.8044137391773436,-0.4186157496582548
Avg Pull Ups ,0.2737758875533715,0.4295937934269446,0.18903186853352077,0.2542332383388813,0.36362647520750346,0.3530934434633679,0.4786964820211372,0.1241464071902218,0.5651840256719742,0.4208992495388569,1.0,0.14474454104246867,0.5929850735286324
Experience (yrs),0.43483093321342514,0.3048608821201561,0.28023556233088803,0.28041150076795873,0.3784086023662311,0.3490011096248001,0.37876510239876865,-0.9297681461889572,-0.5717682019125799,-0.8044137391773436,0.14474454104246867,1.0,0.8377111369399288
Max Grades,0.4865971483661128,0.4088741934332319,0.28036687331876015,0.3141006341170002,0.4404217351423362,0.4076829461102044,0.5188742703074946,-0.6175601423689625,-0.23253551141125692,-0.4186157496582548,0.5929850735286324,0.8377111369399288,1.0
